iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,beta_Cl_tSCRMGDL,omega_Cl,omega_Q,omega_V1,omega_V2
225,-110.639,1,20.5937,24.8087,10.048,0.12464,-0.388573,0.159096,1.72058,0.0241367,0.608546
226,-103.871,1,21.5036,24.7861,10.359,0.126642,-0.427347,0.157322,1.92373,0.0243327,0.62266
227,-109.129,1,21.4724,24.8849,10.9896,0.122896,-0.42807,0.146049,2.01535,0.0250451,0.597146
228,-103.57,1,21.0479,24.8543,11.2619,0.122739,-0.419823,0.157174,2.0425,0.0265738,0.632954
229,-109.864,1,22.3962,24.8348,10.7769,0.118395,-0.474373,0.15839,2.10761,0.027743,0.576415
230,-107.956,1,22.7991,24.9005,12.0895,0.117822,-0.488457,0.169067,2.20576,0.0280918,0.602596
231,-114.904,1,22.1259,24.8043,11.7576,0.115979,-0.4628,0.175071,2.22581,0.0242185,0.56186
232,-116.23,1,21.2866,24.8641,11.7246,0.116314,-0.435754,0.166756,2.24187,0.0238766,0.583661
233,-116.402,1,20.3773,24.974,11.9571,0.11561,-0.387559,0.170909,2.20079,0.0249699,0.545493
234,-115.946,1,19.9367,24.9271,12.713,0.112195,-0.367851,0.173372,2.10997,0.0294121,0.553202
235,-109.371,1,19.9295,25.0425,12.4027,0.116444,-0.370094,0.178375,2.29867,0.0260032,0.581785
236,-110.756,1,20.3679,25.0916,12.6459,0.115177,-0.397643,0.18413,2.31811,0.0249775,0.586219
237,-108.648,1,19.7492,25.2498,12.4761,0.120622,-0.366638,0.175719,2.18798,0.0233818,0.58446
238,-104.295,1,20.2781,25.3138,12.5556,0.120848,-0.388038,0.157824,2.44584,0.0254644,0.583684
239,-98.9733,1,19.4439,25.2804,12.6034,0.12154,-0.355512,0.154826,2.67261,0.0269388,0.62028
240,-98.6455,1,20.7911,25.2671,11.8478,0.121858,-0.424728,0.150515,2.63996,0.0249546,0.679593
241,-104.625,1,20.4859,25.2124,13.0786,0.119104,-0.407374,0.155347,2.64682,0.0278023,0.57776
242,-110.687,1,20.9717,25.1121,13.555,0.116995,-0.427159,0.156358,2.45483,0.0223964,0.663871
243,-107.96,1,19.8126,25.052,12.9583,0.121657,-0.377844,0.162722,2.31646,0.0208987,0.634376
