iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,beta_Cl_tSCRMGDL,omega_Cl,omega_Q,omega_V1,omega_V2
211,403.071,1,19.6716,21.6651,12.83,1.65155,-0.339729,0.244767,0.639179,0.249827,0.608976
212,403.463,1,19.9866,22.1862,12.1056,1.66218,-0.349473,0.247495,0.63135,0.251439,0.592699
213,401.816,1,19.9005,22.0869,12.3809,1.63516,-0.341425,0.250573,0.609425,0.250456,0.633446
214,395.859,1,19.76,22.2807,12.1029,1.61887,-0.338479,0.245153,0.57595,0.221967,0.674756
215,406.095,1,19.3272,22.5283,12.509,1.66993,-0.32216,0.241713,0.63916,0.232731,0.687239
216,410.636,1,19.3274,22.8659,12.4133,1.70758,-0.325053,0.235966,0.66167,0.23744,0.679167
217,405.982,1,18.9936,23.0961,12.9441,1.63255,-0.306143,0.239057,0.665884,0.244097,0.727794
218,409.215,1,20.4169,23.0649,12.2812,1.64165,-0.372241,0.247153,0.688363,0.243843,0.732859
219,415.154,1,20.2316,22.8704,11.6728,1.67265,-0.372718,0.23733,0.75823,0.251916,0.728701
220,418.491,1,19.5091,22.9371,12.5331,1.7613,-0.324749,0.255662,0.634189,0.229578,0.731253
221,414.842,1,19.5584,22.6059,12.6536,1.75406,-0.33625,0.253466,0.61872,0.232946,0.672871
222,411.713,1,19.9918,22.9916,12.5946,1.69239,-0.360656,0.247869,0.678684,0.237077,0.690408
223,413.588,1,19.5169,22.6691,12.1164,1.70975,-0.336377,0.247198,0.642464,0.257111,0.67593
224,409.22,1,19.5668,22.5782,12.3791,1.67741,-0.336791,0.245828,0.639861,0.246628,0.692693
225,409.463,1,19.6881,22.2738,12.8583,1.6892,-0.335213,0.24214,0.665293,0.226964,0.703399
226,415.138,1,19.2701,22.3788,12.5632,1.72908,-0.322314,0.245561,0.641818,0.223558,0.76775
227,414.218,1,19.2255,21.8104,12.4915,1.71231,-0.315604,0.249955,0.671683,0.233505,0.710045
228,411.963,1,18.6484,21.8705,12.572,1.70392,-0.287973,0.25188,0.646286,0.235863,0.69192
229,408.571,1,19.6647,21.8786,12.3819,1.65528,-0.331964,0.253508,0.695247,0.225267,0.712023
230,408.239,1,19.7527,22.0932,12.9026,1.64397,-0.337073,0.248657,0.793925,0.220458,0.671256
231,413.418,1,18.9613,22.0694,13.3949,1.70209,-0.292782,0.262773,0.715872,0.214814,0.69259
232,409.057,1,19.1315,22.1669,12.5119,1.62253,-0.308902,0.244222,0.785142,0.229332,0.733792
233,406.285,1,19.7362,22.5445,12.4505,1.62898,-0.342,0.240538,0.726288,0.22962,0.720456
234,412.984,1,19.3202,22.2507,12.5366,1.67657,-0.311623,0.252831,0.758,0.212888,0.742494
235,417.086,1,19.3065,22.2315,12.0483,1.70638,-0.305242,0.246026,0.78523,0.205556,0.788061
236,413.512,1,19.3825,22.135,12.0208,1.64322,-0.320199,0.244838,0.791102,0.215914,0.831729
237,408.66,1,20.0392,22.2863,11.8713,1.64793,-0.356192,0.250097,0.751252,0.198384,0.785021
238,417.493,1,19.7336,22.5084,11.5611,1.69973,-0.331903,0.258309,0.732993,0.205795,0.833723
