time,median,p5,p15,p25,p35,p45,p55,p65,p75,p85,p95,split
-5.74629,51.7133,21.1635,30.8412,37.5922,43.3197,49.1145,54.5214,61.0065,68.6844,79.1396,100.232,All
-5.55386,49.0735,19.2309,28.4919,35.0535,40.7679,46.4079,51.9268,58.3236,66.0738,76.1802,97.138,All
-5.36142,46.5064,17.2919,26.3078,32.7163,38.3811,43.9955,49.4599,55.7307,63.2161,73.6273,94.0886,All
-5.16899,44.2125,15.775,24.4546,30.651,36.2425,41.6313,47.2,53.4433,60.8734,71.2098,91.683,All
-4.97655,42.191,14.4099,22.7154,28.7179,34.2242,39.5244,45.1803,51.3211,58.6695,68.9008,89.3538,All
-4.78411,40.3682,13.1139,21.2645,27.14,32.3168,37.5673,43.1958,49.2852,56.6042,66.7191,86.9746,All
-4.59168,38.6464,12.0499,19.803,25.5906,30.6711,35.8791,41.2958,47.4534,54.6366,64.7497,85.0147,All
-4.39924,36.9994,11.0916,18.4659,24.1602,29.0613,34.204,39.5919,45.6923,52.8032,62.8957,82.8954,All
-4.2068,35.3982,10.202,17.3085,22.8796,27.5404,32.7704,38.0386,44.0022,51.1668,61.2374,81.3958,All
-4.01437,33.8607,9.47103,16.207,21.6193,26.2337,31.3109,36.4857,42.4591,49.5616,59.5288,79.3721,All
-3.82193,32.3941,8.69754,15.1763,20.4724,24.9291,29.8899,35.0322,40.9241,47.9704,57.8916,77.435,All
-3.62949,30.9581,8.03656,14.2133,19.3921,23.7232,28.5643,33.6021,39.4846,46.5001,56.2671,75.7363,All
-3.43706,29.7203,7.46603,13.4018,18.3215,22.6106,27.3824,32.2215,38.0902,44.9893,54.8998,74.3393,All
-3.24462,28.5419,6.8971,12.5631,17.3825,21.6015,26.214,30.9873,36.7567,43.6495,53.3849,72.7475,All
-3.05218,27.43,6.44989,11.8437,16.4896,20.625,25.1095,29.8417,35.5523,42.4365,51.9769,71.2525,All
-2.85975,26.3566,5.99902,11.1977,15.5907,19.6903,24.0476,28.7752,34.3262,41.1475,50.661,69.97,All
-2.66731,25.3125,5.60308,10.575,14.7942,18.7881,23.0586,27.6969,33.1067,39.9529,49.2762,68.6335,All
-2.47487,24.3525,5.20937,9.97301,14.0828,17.9203,22.095,26.6868,32.0223,38.7895,48.0065,67.2081,All
