iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a,b,omega_Cl,omega_Q,omega_V1,omega_V2
199,461.557,1,13.5369,34.0863,22.8055,13.1134,1.52387,0.0423421,0.266466,0.90518,0.295601,0.829106
200,465.124,1,13.5687,32.002,23.2431,12.4718,1.57141,0.0420048,0.262261,0.961244,0.296588,0.811904
201,465.653,1,13.5098,29.388,23.5247,12.69,1.54718,0.0462748,0.254324,0.919932,0.28812,0.796636
202,461.002,1,13.5483,30.8697,23.2087,13.4309,1.5313,0.0433695,0.266554,0.965062,0.274651,0.771483
203,454.464,1,13.5092,28.3183,23.2606,13.8589,1.41338,0.0454966,0.259234,0.94492,0.289515,0.763808
204,454.719,1,13.5405,25.2682,23.0857,14.2175,1.49066,0.0441151,0.258137,0.875119,0.28703,0.737516
205,448.363,1,13.5502,27.5133,23.0418,14.2596,1.56001,0.0345868,0.260648,0.900555,0.312663,0.684146
206,461.023,1,13.5637,29.0171,22.6833,13.5485,1.59406,0.0365415,0.264808,1.00999,0.316109,0.749051
207,457.06,1,13.2847,24.9136,22.7296,14.0744,1.59401,0.0339576,0.251204,0.990785,0.337776,0.735966
208,458.264,1,13.3664,28.2586,23.0892,13.9977,1.56657,0.0350492,0.255044,1.05252,0.316352,0.779695
209,454.112,1,13.4736,29.9838,23.174,13.5884,1.56659,0.0357214,0.261588,0.928748,0.298571,0.774285
210,457.343,1,13.3927,30.4298,23.0749,13.644,1.6276,0.0357123,0.271456,0.970469,0.283254,0.708667
211,460.924,1,13.4544,29.0906,22.906,13.6929,1.59847,0.0404107,0.264433,0.895689,0.302969,0.730137
212,452.795,1,13.4419,29.8465,22.884,13.2163,1.65255,0.0329707,0.266115,0.822343,0.310533,0.703853
213,443.828,1,13.6138,28.4095,23.1044,13.214,1.62313,0.0282654,0.266124,0.801166,0.289505,0.772924
214,440.243,1,13.4678,29.5699,22.9718,13.7017,1.51832,0.0318999,0.260133,0.754643,0.31241,0.79165
215,455.868,1,13.4973,30.2741,23.5165,14.2125,1.55493,0.041231,0.256553,0.810325,0.286501,0.811562
216,456.061,1,13.5309,27.9003,23.7857,13.122,1.45192,0.0449054,0.256045,0.782487,0.292871,0.91494
217,447.645,1,13.506,27.5256,24.5419,13.5314,1.49238,0.0404476,0.247658,0.760533,0.29368,0.817229
218,445.131,1,13.5519,28.8365,23.2956,13.5162,1.58484,0.0324892,0.256019,0.855639,0.284672,0.744293
219,447.328,1,13.4367,29.5805,22.9314,13.9513,1.66469,0.0272733,0.251757,0.934193,0.271933,0.770654
220,458.318,1,13.5268,30.1529,23.2444,13.1101,1.7097,0.0325266,0.258037,0.901604,0.287031,0.755579
221,464.117,1,13.5066,29.2811,23.5711,11.6804,1.67208,0.0374731,0.263995,0.902802,0.307982,0.739095
222,458.422,1,13.5331,27.0717,24.0913,11.713,1.63446,0.0389455,0.269835,0.822057,0.295718,0.720594
223,456.04,1,13.5442,26.8643,23.9832,11.1035,1.63446,0.0376244,0.271354,0.716053,0.292728,0.78719
224,465.324,1,13.5838,27.221,23.4681,11.6847,1.70419,0.036629,0.259595,0.788978,0.302923,0.8817
225,469.657,1,13.5184,27.2314,23.2802,12.4305,1.79252,0.03504,0.266391,0.780008,0.313303,0.817079
226,461.117,1,13.5369,28.4817,23.7394,12.3204,1.67231,0.0367832,0.273365,0.713924,0.326497,0.805236
227,456.157,1,13.5939,29.4739,23.708,12.6285,1.67231,0.0366191,0.266066,0.718332,0.295224,0.772752
228,462.877,1,13.5136,29.8592,23.7336,12.2626,1.67241,0.0414466,0.251607,0.734822,0.297405,0.839806
229,472.607,1,13.6187,31.0588,23.5433,11.7196,1.72932,0.0419909,0.26283,0.803578,0.305799,0.809258
230,467.834,1,13.4243,32.9755,23.6331,12.5912,1.80164,0.0351391,0.2549,0.846945,0.289024,0.783479
231,464.616,1,13.4886,31.3972,23.5434,13.0147,1.64723,0.0428863,0.253139,0.843319,0.290112,0.762537
232,459.955,1,13.482,30.7789,23.7764,11.8735,1.66597,0.0343046,0.247281,1.01431,0.285508,0.77645
