iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a,b,omega_Cl,omega_Q,omega_V1,omega_V2
184,-7.50297,1,15.7192,48.2004,21.7629,15.9059,1.46174,0.0434369,0.232156,1.6253,6.66804e-08,0.56466
185,-10.1788,1,15.8654,44.9481,21.7629,15.9412,1.46175,0.041829,0.238311,1.5272,6.18917e-08,0.595986
186,-5.88415,1,15.8512,43.2478,21.7629,14.8119,1.50329,0.0446249,0.237501,1.41827,5.86385e-08,0.640993
187,-6.81807,1,15.7544,39.6441,21.7629,16.0211,1.52727,0.0466014,0.239903,1.33094,5.56058e-08,0.598873
188,-11.3051,1,15.8738,39.7553,21.7629,14.8654,1.48848,0.0494856,0.230927,1.27592,5.43586e-08,0.567405
189,-5.49951,1,15.9629,37.9909,21.7629,14.9028,1.4885,0.0497127,0.238641,1.50812,5.01865e-08,0.6014
190,-4.84,1,15.9466,42.3307,21.7629,14.9275,1.506,0.0502441,0.233888,1.4827,5.25939e-08,0.573661
191,-3.95986,1,15.7371,37.0679,21.7629,14.786,1.45355,0.0520211,0.231517,1.46986,5.49938e-08,0.600093
192,-7.63746,1,15.9173,38.8,21.7629,15.0485,1.47492,0.0482337,0.235756,1.51362,5.25654e-08,0.593158
193,-3.083,1,15.8701,48.2783,21.7629,14.6365,1.53686,0.0483531,0.226961,1.47748,5.35192e-08,0.612242
194,-11.5675,1,15.8009,44.9707,21.7629,15.5894,1.47098,0.0514402,0.23186,1.41857,4.93127e-08,0.533846
195,-15.778,1,15.8373,42.4298,21.7629,15.7112,1.4541,0.0535213,0.230945,1.2978,4.47434e-08,0.545463
196,-11.8417,1,15.6338,43.6946,21.7629,15.3481,1.48151,0.0530224,0.220913,1.35833,4.21317e-08,0.611788
197,-5.71859,1,15.7858,43.9871,21.7629,15.6434,1.45355,0.0571328,0.228059,1.51391,4.16162e-08,0.609174
198,-11.7622,1,15.9561,46.5647,21.7629,15.1808,1.42551,0.0552599,0.240114,1.55552,3.73179e-08,0.60013
199,-10.8148,1,15.9529,48.109,21.7629,13.8818,1.42549,0.0523022,0.236241,1.53953,4.13021e-08,0.621057
200,-15.5939,1,15.7879,43.7965,21.7629,15.1738,1.48485,0.0456753,0.228555,1.57376,4.37269e-08,0.58749
201,-15.7717,1,15.7416,42.2108,21.7629,14.5122,1.48484,0.0460057,0.225346,1.62074,4.28482e-08,0.58447
202,-22.8445,1,15.7292,43.6769,21.7629,14.5946,1.42759,0.0469478,0.223653,1.63603,3.79891e-08,0.569733
203,-21.3808,1,15.8622,35.835,21.7629,16.2299,1.42761,0.047634,0.231419,1.51496,4.12501e-08,0.570696
204,-18.0595,1,15.8471,37.2598,21.7629,16.1179,1.42768,0.0517642,0.228379,1.61323,3.96001e-08,0.546709
205,-11.9501,1,15.9544,41.9507,21.7629,15.7008,1.50792,0.0512413,0.224051,1.41225,4.54539e-08,0.553532
206,-10.9479,1,15.7279,40.5523,21.7629,15.7488,1.4885,0.0501713,0.230789,1.49829,4.32149e-08,0.58872
207,-12.1669,1,15.4971,34.7342,21.7629,16.1483,1.52388,0.0483755,0.225222,1.48694,4.11744e-08,0.592735
208,-7.47376,1,15.5598,42.4724,21.7629,15.8582,1.56939,0.0461349,0.228239,1.41623,4.81413e-08,0.604076
209,-8.8324,1,15.7496,36.1214,21.7629,15.5484,1.42807,0.0501646,0.230734,1.47748,4.76892e-08,0.690614
210,-16.662,1,15.669,34.6926,21.7629,15.0967,1.3833,0.0507666,0.232066,1.36,4.62129e-08,0.63931
211,-18.5445,1,15.7805,37.8183,21.7629,16.1428,1.40629,0.049386,0.230135,1.36854,4.71572e-08,0.5995
